"_id","type","fabric","supplies","steps","notes","disclaimer","source","source_url"
"106","Cream","Upholstery","Dry cleaning solvent;Detergent","Using a clean white cloth, sponge the stain with the dry cleaning solvent.;Blot until the solvent is absorbed.;Repeat Steps 2 and 3 until the stain disappears.;Mix one (1) tablespoon of liquid dishwashing detergent with two (2) cups of cool water.;Using a clean white cloth, sponge the stain with the detergent solution.;Blot until the liquid is absorbed.;Repeat Steps 2 and 3 until the stain disappears.;Sponge with cold water and blot dry to remove the detergent solution.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"107","Cream soups","Washable fabrics","Pretreatment laundry stain remover;Heavy-duty liquid detergent;Chlorine bleach or oxygen bleach;Dry cleaning solvent;Absorbent paper towels","Saturate area with pretreatment laundry stain remover (aerosol types work better on greasy stains) Wait one minute for product to penetrate the stain. For stubborn stains, rub with heavy-duty liquid detergent. Launder immediately.;If color stain remains, soak/wash in chlorine bleach if safe for fabric, or in oxygen bleach.;For extra heavy stains, apply dry cleaning solvent to back of the stain over absorbent paper towels. Let dry, rinse. Proceed as above.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"108","Curry","Upholstery","Detergent;White vinegar;Rubbing alcohol;Detergent;Ammonia","Mix one (1) tablespoon of liquid dishwashing detergent and one tablespoon of white vinegar with two (2) cups of cool water.;Using a clean white cloth, sponge the stain with the detergent/vinegar solution. Leave it on the stain for at least 30 minutes, blotting every five minutes with a clean white cloth and more solution.;Sponge with cool water, blot until the liquid is absorbed.;Sponge the stain with rubbing alcohol; blot to remove the stain.;If the stain remains, mix one teaspoon of liquid dishwashing detergent and one tablespoon of ammonia with two cups of warm water. (Caution: Never mix chlorine bleach and ammonia – fumes are hazardous);Sponge the stain with the detergent/ammonia solution.  Leave it on the stain for at least 30 minutes, blotting every five minutes with a clean white cloth and more solution.;Sponge with cold water and blot dry.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"109","Deodorant","Washable fabrics","Blunt kitchen knife;Liquid hand dishwashing Detergent;Ammonia;Enzyme product;Chlorine bleach or oxygen bleach","Scrape off excess material.;Soak for 15 minutes in mixture of 1 quart lukewarm water, one-half teaspoon liquid hand dishwashing detergent and one tablespoon ammonia.;Rub gently from back to loosen stain.;Soak another 15 minutes in above mixture. Rinse.;Soak protein stain in enzyme product for at least 30 minutes. Soak aged stains for several hours. Launder.;If color stain remains, launder, using chlorine bleach if safe for fabric, or with oxygen bleach.","Pretreat by rubbing in undiluted liquid hand dishwashing detergent. Launder in hottest water safe for the fabric.","Caution: Never mix chlorine bleach with ammonia - fumes are hazardous.","University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"110","Deodorant","Carpet","Detergent;White vinegar;Rubbing alcohol","Mix one teaspoon of liquid dishwashing detergent and one tablespoon of ammonia with two cups of warm water.;Using a clean white cloth, sponge the stain with the detergent/ammonia solution.;Blot until the liquid is absorbed.;If the stain remains, mix one tablespoon of liquid dishwashing detergent and one tablespoon of white vinegar with two cups of warm water.;Sponge the stain with the detergent/vinegar solution.;Blot until the liquid is absorbed.;If the stain remains, sponge the stain with rubbing alcohol.;Blot until the liquid is absorbed.;Sponge with cold water and blot dry.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"111","Deodorant","Upholstery","Detergent;Ammonia;White vinegar;Rubbing alcohol","Mix one teaspoon of liquid dishwashing detergent and one tablespoon of ammonia with two cups of warm water. (Caution: Never mix chlorine bleach and ammonia – fumes are hazardous);Using a clean white cloth, sponge the stain with the detergent/ammonia solution;Blot until the liquid is absorbed.;Repeat Steps 2 and 3 until the stain disappears or is no longer absorbed into the cloth.;If the stain remains, mix one tablespoon of liquid dishwashing detergent and one tablespoon of white vinegar with two cups of warm water.;Sponge the stain with the detergent/vinegar solution.;Blot until the liquid is absorbed.;Repeat Steps 6 and 7 until the stain disappears or is no longer absorbed into the cloth.;Sponge the stain with rubbing alcohol.;Blot until the liquid is absorbed.;Sponge with cold water and blot dry",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"112","Dirt","Upholstery","Detergent","Mix one (1) tablespoon of liquid dishwashing detergent with two (2) cups of cool water.;Using a clean white cloth, sponge the stain with the detergent solution.;Blot until the liquid is absorbed.;Repeat Steps 2 and 3 until the stain disappears.;Sponge with cold water and blot dry to remove the detergent solution.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"113","Dye transfer (color bleeding in wash)","Washable fabrics","Heavy-duty liquid detergent;Dilute solution of all-fabric powdered bleach;Liquid chlorine bleach;Commercial color remover","Pretreat the stain with heavy-duty liquid detergent. Rinse.;Soak fabric in dilute solution of all-fabric powdered bleach.;If stain persists and garment is white or colorfast, soak entire garment in diluted solution of liquid chlorine bleach and water. Chlorine bleach may change the color of the garment or cause irreversible damage. Check for bleach tolerance on a hidden seam. If stain does not come out in 15 minutes of bleaching, if cannot be removed by bleaching.;If bleaching is not safe or does not work, use a commercial color remover according to package directions. Note that color remover will take out the fabric color as well as the stain. Do not exceed 160 degrees Fahrenheit water with any synthetic fabrics*. Launder.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"114","Dyes (not red)","Upholstery","Detergent;White vinegar;Rubbing alcohol;Detergent;Ammonia","Mix one (1) tablespoon of liquid dishwashing detergent and one tablespoon of white vinegar with two (2) cups of cool water.;Using a clean white cloth, sponge the stain with the detergent/vinegar solution. Leave it on the stain for at least 30 minutes, blotting every five minutes with a clean white cloth and more solution.;Sponge with cool water, blot until the liquid is absorbed.;Sponge the stain with rubbing alcohol; blot to remove the stain.;If the stain remains, mix one teaspoon of liquid dishwashing detergent and one tablespoon of ammonia with two cups of warm water. (Caution: Never mix chlorine bleach and ammonia – fumes are hazardous);Sponge the stain with the detergent/ammonia solution.  Leave it on the stain for at least 30 minutes, blotting every five minutes with a clean white cloth and more solution.;Sponge with cold water and blot dry.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"115","Egg white","Washable fabrics","Blunt kitchen knife;Liquid hand dishwashing Detergent;Ammonia;Enzyme product;Chlorine bleach or oxygen bleach","Scrape off excess material.;Soak for 15 minutes in mixture of 1 quart lukewarm water, one-half teaspoon liquid hand dishwashing detergent and one tablespoon ammonia.;Rub gently from back to loosen stain.;Soak another 15 minutes in above mixture. Rinse.;Soak protein stain in enzyme product for at least 30 minutes. Soak aged stains for several hours. Launder.;If color stain remains, launder, using chlorine bleach if safe for fabric, or with oxygen bleach.",,"Caution: Never mix chlorine bleach with ammonia - fumes are hazardous.","University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"116","Egg white","Carpet","Ammonia;Detergent;3% Hydrogenperoxide;Dull knife;Diluted carpet shampoo;Vacuum cleaner","Remove as much of the stain as possible by blotting with a white paper towel or scraping with a dull knife, then neutralize with an ammonia solution (1 tablespoon of clear household ammonia to 1/2 cup of water.). Saturate spot with the ammonia solution using a spray bottle. Do not wet backing. Blot with a white paper towel to remove excess moisture.;Apply a small quantity of detergent solution to the spot. (To make the detergent solution mix 1/4 teaspoon of a hand dishwashing detergent which does not contain lanolin or bleach with 1 quart of water) Use a blotting motion to work the detergent into the affected area. If spot is being removed continue applying detergent and blotting with a white paper towel until spot is removed.;Rinse with tap water using a spray bottle, blot to remove excess moisture.;Spray lightly with water, do not blot this time; apply pad of paper towels and brick and allow to dry.;If there is still some stain on the carpet and blotting is not removing it, then moisten the tufts in the stained area with 3% hydrogen peroxide. Let stand for on (1) hour. Blot and repeat until carpet is stain free. Light will cause peroxide to change back to water so no rinsing is necessary. Apply pad of paper towels and weight down with brick.;Remove excess material by blotting up liquids with a clean absorbent towel and scraping up solids with the dull edge of a knife.;Sponge lightly with cool water and blot several times.;Apply diluted carpet shampoo (1 part liquid carpet shampoo to 4 parts water) with a brush or towel. ;Let the area dry thoroughly, and then vacuum.;Repeat if needed.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"117","Egg white","Upholstery","Detergent","Mix one (1) tablespoon of liquid dishwashing detergent with two (2) cups of cool water.;Using a clean white cloth, sponge the stain with the detergent solution.;Blot until the liquid is absorbed.;Repeat Steps 2 and 3 until the stain disappears.;Sponge with cold water and blot dry to remove the detergent solution.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"118","Egg yolk","Washable fabrics","Pretreatment laundry stain remover;Heavy-duty liquid detergent;Chlorine bleach or oxygen bleach;Dry cleaning solvent;Absorbent paper towels","Saturate area with pretreatment laundry stain remover (aerosol types work better on greasy stains) Wait one minute for product to penetrate the stain. For stubborn stains, rub with heavy-duty liquid detergent. Launder immediately.;If color stain remains, soak/wash in chlorine bleach if safe for fabric, or in oxygen bleach.;For extra heavy stains, apply dry cleaning solvent to back of the stain over absorbent paper towels. Let dry, rinse. Proceed as above.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"119","Egg yolk","Carpet","Ammonia;Detergent;3% Hydrogenperoxide;Dull knife;Diluted carpet shampoo;Vacuum cleaner","Remove as much of the stain as possible by blotting with a white paper towel or scraping with a dull knife, then neutralize with an ammonia solution (1 tablespoon of clear household ammonia to 1/2 cup of water.). Saturate spot with the ammonia solution using a spray bottle. Do not wet backing. Blot with a white paper towel to remove excess moisture.;Apply a small quantity of detergent solution to the spot. (To make the detergent solution mix 1/4 teaspoon of a hand dishwashing detergent which does not contain lanolin or bleach with 1 quart of water) Use a blotting motion to work the detergent into the affected area. If spot is being removed continue applying detergent and blotting with a white paper towel until spot is removed.;Rinse with tap water using a spray bottle, blot to remove excess moisture.;Spray lightly with water, do not blot this time; apply pad of paper towels and brick and allow to dry.;If there is still some stain on the carpet and blotting is not removing it, then moisten the tufts in the stained area with 3% hydrogen peroxide. Let stand for on (1) hour. Blot and repeat until carpet is stain free. Light will cause peroxide to change back to water so no rinsing is necessary. Apply pad of paper towels and weight down with brick.;Remove excess material by blotting up liquids with a clean absorbent towel and scraping up solids with the dull edge of a knife.;Sponge lightly with cool water and blot several times.;Apply diluted carpet shampoo (1 part liquid carpet shampoo to 4 parts water) with a brush or towel. ;Let the area dry thoroughly, and then vacuum.;Repeat if needed.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"120","Egg yolk","Upholstery","Detergent","Mix one (1) tablespoon of liquid dishwashing detergent with two (2) cups of cool water.;Using a clean white cloth, sponge the stain with the detergent solution.;Blot until the liquid is absorbed.;Repeat Steps 2 and 3 until the stain disappears.;Sponge with cold water and blot dry to remove the detergent solution.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"121","Epoxy glue","Washable fabrics","Pretreatment laundry stain remover;Heavy-duty liquid detergent;Chlorine bleach or oxygen bleach;Dry cleaning solvent;Absorbent paper towels","Saturate area with pretreatment laundry stain remover (aerosol types work better on greasy stains) Wait one minute for product to penetrate the stain. For stubborn stains, rub with heavy-duty liquid detergent. Launder immediately.;If color stain remains, soak/wash in chlorine bleach if safe for fabric, or in oxygen bleach.;For extra heavy stains, apply dry cleaning solvent to back of the stain over absorbent paper towels. Let dry, rinse. Proceed as above.","Epoxy glue may be impossible to remove. Dry cleaning solvent may cause it to swell so that it can be removed by scraping",,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"122","Eye drops","Washable fabrics","Blunt kitchen knife;Liquid hand dishwashing Detergent;Ammonia;Enzyme product;Chlorine bleach or oxygen bleach","Scrape off excess material.;Soak for 15 minutes in mixture of 1 quart lukewarm water, one-half teaspoon liquid hand dishwashing detergent and one tablespoon ammonia.;Rub gently from back to loosen stain.;Soak another 15 minutes in above mixture. Rinse.;Soak protein stain in enzyme product for at least 30 minutes. Soak aged stains for several hours. Launder.;If color stain remains, launder, using chlorine bleach if safe for fabric, or with oxygen bleach.",,"Caution: Never mix chlorine bleach with ammonia - fumes are hazardous.","University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"123","Eye Shadow","Washable fabrics","Pretreatment laundry stain remover;Heavy-duty liquid detergent;Chlorine bleach or oxygen bleach;Dry cleaning solvent;Absorbent paper towels","Saturate area with pretreatment laundry stain remover (aerosol types work better on greasy stains) Wait one minute for product to penetrate the stain. For stubborn stains, rub with heavy-duty liquid detergent. Launder immediately.;If color stain remains, soak/wash in chlorine bleach if safe for fabric, or in oxygen bleach.;For extra heavy stains, apply dry cleaning solvent to back of the stain over absorbent paper towels. Let dry, rinse. Proceed as above.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"124","Eyeliner","Washable fabrics","Pretreatment laundry stain remover;Heavy-duty liquid detergent;Chlorine bleach or oxygen bleach;Dry cleaning solvent;Absorbent paper towels","Saturate area with pretreatment laundry stain remover (aerosol types work better on greasy stains) Wait one minute for product to penetrate the stain. For stubborn stains, rub with heavy-duty liquid detergent. Launder immediately.;If color stain remains, soak/wash in chlorine bleach if safe for fabric, or in oxygen bleach.;For extra heavy stains, apply dry cleaning solvent to back of the stain over absorbent paper towels. Let dry, rinse. Proceed as above.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"125","Eyeliner","Upholstery","Detergent;Dry cleaning solvent","Mix one (1) tablespoon of liquid dishwashing detergent with two (2) cups of cool water.;Using a clean white cloth, sponge the stain with the detergent solution.;Blot until the liquid is absorbed.;Repeat Steps 2 and 3 until the stain disappears.;Sponge with cold water and blot dry to remove the detergent solution.;Using a clean white cloth, sponge the stain with the dry cleaning solvent.;Blot until the solvent is absorbed.;Repeat Steps 2 and 3 until the stain disappears.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"126","Fabric dye (except red and yellow)","Washable fabrics","Heavy-duty liquid detergent;Dilute solution of all-fabric powdered bleach;Liquid chlorine bleach;Commercial color remover","Pretreat the stain with heavy-duty liquid detergent. Rinse.;Soak fabric in dilute solution of all-fabric powdered bleach.;If stain persists and garment is white or colorfast, soak entire garment in diluted solution of liquid chlorine bleach and water. Chlorine bleach may change the color of the garment or cause irreversible damage. Check for bleach tolerance on a hidden seam. If stain does not come out in 15 minutes of bleaching, if cannot be removed by bleaching.;If bleaching is not safe or does not work, use a commercial color remover according to package directions. Note that color remover will take out the fabric color as well as the stain. Do not exceed 160 degrees Fahrenheit water with any synthetic fabrics*. Launder.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"127","Fabric dye (except red and yellow)","Carpet","Detergent;White vinegar;Rubbing alcohol;Ammonia","Mix one tablespoon of liquid dishwashing detergent and one tablespoon of white vinegar with two cups of warm water.;Using a clean white cloth, sponge the stain with the detergent/vinegar solution; blotting frequently with a dry cloth until the stain disappears.;Flush with clear water.;If the stain remains, sponge the stain with rubbing alcohol. Blot to remove the stain.;Flush with alcohol; let it air-dry.;Sponge with cold water.;Blot until the liquid is absorbed.;If the stain remains, mix one teaspoon of liquid dishwashing detergent and one tablespoon of ammonia with two cups of warm water. Sponge the stain with this solution. Leave it on the stain for at least 30 minutes, blotting every five minutes with a clean white cloth and more solution.;Sponge with cold water and blot dry.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"128","Fabric dye, red","Washable fabrics","Blunt kitchen knife;Liquid hand dishwashing Detergent;Ammonia;White vinegar;Chlorine bleach or oxygen bleach","Scrape off excess material.;Soak for 15 minutes in mixture of 1 quart lukewarm water, one-half teaspoon liquid hand dishwashing detergent and one tablespoon ammonia.;Rub gently from back to loosen stain.;Soak another 15 minutes in above mixture. Rinse.;Soak in 1 quart warm water and 1 tablespoon white vinegar for 30 minutes.;If color stain remains, launder, using chlorine bleach if safe for fabric, or with oxygen bleach.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"129","Fabric dye, red","Carpet","Detergent;White vinegar;Rubbing alcohol;Ammonia","Mix one teaspoon of liquid dishwashing detergent and one tablespoon of ammonia with two cups of warm water.;Using a clean white cloth, sponge the stain with the detergent/ammonia solution;   ;Blot until the liquid is absorbed.;Repeat Steps 2 and 3 until the stain disappears or is no longer absorbed into the cloth.;If the stain remains, mix one tablespoon of liquid dishwashing detergent and one tablespoon of white vinegar and two cups of warm water.;Sponge the stain with the detergent/vinegar solution.;Blot until the liquid is absorbed.;If the stain remains, sponge the stain with rubbing alcohol.;Blot until the liquid is absorbed.;Sponge with cold water and blot dry.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"130","Fabric softener","Washable fabrics","Bar soap","Rub stained area with bar soap – (Ivory) and launder as usual.;Repeat if necessary.;To prevent stains, dilute softener before using.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"131","Face powder","Washable fabrics","Pretreatment laundry stain remover;Heavy-duty liquid detergent;Chlorine bleach or oxygen bleach;Dry cleaning solvent;Absorbent paper towels","Saturate area with pretreatment laundry stain remover (aerosol types work better on greasy stains) Wait one minute for product to penetrate the stain. For stubborn stains, rub with heavy-duty liquid detergent. Launder immediately.;If color stain remains, soak/wash in chlorine bleach if safe for fabric, or in oxygen bleach.;For extra heavy stains, apply dry cleaning solvent to back of the stain over absorbent paper towels. Let dry, rinse. Proceed as above.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"132","Feces and excrement","Washable fabrics","Blunt kitchen knife;Liquid hand dishwashing Detergent;Ammonia;Enzyme product;Chlorine bleach or oxygen bleach","Scrape off excess material.;Soak for 15 minutes in mixture of 1 quart lukewarm water, one-half teaspoon liquid hand dishwashing detergent and one tablespoon ammonia.;Rub gently from back to loosen stain.;Soak another 15 minutes in above mixture. Rinse.;Soak protein stain in enzyme product for at least 30 minutes. Soak aged stains for several hours. Launder.;If color stain remains, launder, using chlorine bleach if safe for fabric, or with oxygen bleach.",,"Caution: Never mix chlorine bleach with ammonia - fumes are hazardous.","University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"133","Feces and excrement","Carpet","Dull knife;Diluted carpet shampoo;Vacuum cleaner;Absorbent towels;White vinegar;Detergent","Remove excess material by blotting up liquids with a clean absorbent towel and scraping up solids with the dull edge of a knife.;Sponge lightly with cool water and blot several times.;Apply diluted carpet shampoo (1 part liquid carpet shampoo to 4 parts water) with a brush or towel. ;Let the area dry thoroughly, and then vacuum.;Repeat if needed.;Remove excess material by blotting up liquids with a clean absorbent towel and scraping up solids with a dull edge of a knife.;Sponge the area with a solution of one (1) teaspoon white vinegar and one (1) teaspoon liquid dishwashing detergent in one (1) quart of warm water. ;Let the carpet dry.  If spot remains, try again.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"134","Feces and excrement","Upholstery","Detergent;Hydrogen peroxide;Ammonia","Mix one tablespoon of liquid dishwashing detergent with two cups of cool water.;Using a clean white cloth, sponge the stain with the detergent solution.;Blot until the liquid is absorbed.;Repeat Steps 2 and 3 until the stain disappears.;If the stain remains, use an eye dropper to apply hydrogen peroxide; and then apply a drop or two of ammonia.;Sponge with cold water and blot dry.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"135","Felt tip marker","Washable fabrics","Pretreatment laundry stain remover;Heavy-duty liquid detergent;Chlorine bleach or oxygen bleach;Dry cleaning solvent;Absorbent paper towels","Saturate area with pretreatment laundry stain remover (aerosol types work better on greasy stains) Wait one minute for product to penetrate the stain. For stubborn stains, rub with heavy-duty liquid detergent. Launder immediately.;If color stain remains, soak/wash in chlorine bleach if safe for fabric, or in oxygen bleach.;For extra heavy stains, apply dry cleaning solvent to back of the stain over absorbent paper towels. Let dry, rinse. Proceed as above.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"136","Felt tip marker","Carpet","Detergent;White vinegar;Rubbing alcohol;Ammonia","Mix one tablespoon of liquid dishwashing detergent and one tablespoon of white vinegar with two cups of warm water.;Using a clean white cloth, sponge the stain with the detergent/vinegar solution; blotting frequently with a dry cloth until the stain disappears.;Flush with clear water.;If the stain remains, sponge the stain with rubbing alcohol. Blot to remove the stain.;Flush with alcohol; let it air-dry.;Sponge with cold water.;Blot until the liquid is absorbed.;If the stain remains, mix one teaspoon of liquid dishwashing detergent and one tablespoon of ammonia with two cups of warm water. Sponge the stain with this solution. Leave it on the stain for at least 30 minutes, blotting every five minutes with a clean white cloth and more solution.;Sponge with cold water and blot dry.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"137","Felt tip marker","Upholstery","Detergent;White vinegar;Rubbing alcohol;Detergent;Ammonia","Mix one (1) tablespoon of liquid dishwashing detergent and one tablespoon of white vinegar with two (2) cups of cool water.;Using a clean white cloth, sponge the stain with the detergent/vinegar solution. Leave it on the stain for at least 30 minutes, blotting every five minutes with a clean white cloth and more solution.;Sponge with cool water, blot until the liquid is absorbed.;Sponge the stain with rubbing alcohol; blot to remove the stain.;If the stain remains, mix one teaspoon of liquid dishwashing detergent and one tablespoon of ammonia with two cups of warm water. (Caution: Never mix chlorine bleach and ammonia – fumes are hazardous);Sponge the stain with the detergent/ammonia solution.  Leave it on the stain for at least 30 minutes, blotting every five minutes with a clean white cloth and more solution.;Sponge with cold water and blot dry.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"138","Felt-tip pen (permanent ink may not come out)","Washable fabrics","Heavy-duty liquid detergent;Dilute solution of all-fabric powdered bleach;Liquid chlorine bleach;Commercial color remover","Pretreat the stain with heavy-duty liquid detergent. Rinse.;Soak fabric in dilute solution of all-fabric powdered bleach.;If stain persists and garment is white or colorfast, soak entire garment in diluted solution of liquid chlorine bleach and water. Chlorine bleach may change the color of the garment or cause irreversible damage. Check for bleach tolerance on a hidden seam. If stain does not come out in 15 minutes of bleaching, if cannot be removed by bleaching.;If bleaching is not safe or does not work, use a commercial color remover according to package directions. Note that color remover will take out the fabric color as well as the stain. Do not exceed 160 degrees Fahrenheit water with any synthetic fabrics*. Launder.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"139","Felt-tip water color pen","Washable fabrics","Liquid hand dishwashing detergent;White vinegar;Rubbing alcohol;Enzyme presoak product;Chlorine bleach or oxygen bleach","Soak for 15 minutes in mixture of one quart lukewarm water, one-half teaspoon liquid hand dishwashing detergent and one tablespoon white vinegar. Rinse.;Sponge with rubbing alcohol, using light motions from center to edge of stain.;Soak for 30 minutes in one quart warm water with one tablespoon enzyme presoak products.;If color stain remains, launder in chlorine bleach if safe for the fabric, or in oxygen bleach.",,"Caution: Never mix chlorine bleach with ammonia - fumes are hazardous.","University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"140","Fish slime","Washable fabrics","Blunt kitchen knife;Liquid hand dishwashing Detergent;Ammonia;Enzyme product;Chlorine bleach or oxygen bleach","Scrape off excess material.;Soak for 15 minutes in mixture of 1 quart lukewarm water, one-half teaspoon liquid hand dishwashing detergent and one tablespoon ammonia.;Rub gently from back to loosen stain.;Soak another 15 minutes in above mixture. Rinse.;Soak protein stain in enzyme product for at least 30 minutes. Soak aged stains for several hours. Launder.;If color stain remains, launder, using chlorine bleach if safe for fabric, or with oxygen bleach.",,"Caution: Never mix chlorine bleach with ammonia - fumes are hazardous.","University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"141","Floor wax","Washable fabrics","Pretreatment laundry stain remover;Heavy-duty liquid detergent;Chlorine bleach or oxygen bleach;Dry cleaning solvent;Absorbent paper towels","Saturate area with pretreatment laundry stain remover (aerosol types work better on greasy stains) Wait one minute for product to penetrate the stain. For stubborn stains, rub with heavy-duty liquid detergent. Launder immediately.;If color stain remains, soak/wash in chlorine bleach if safe for fabric, or in oxygen bleach.;For extra heavy stains, apply dry cleaning solvent to back of the stain over absorbent paper towels. Let dry, rinse. Proceed as above.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"142","Food coloring (except red and yellow)","Washable fabrics","Heavy-duty liquid detergent;Dilute solution of all-fabric powdered bleach;Liquid chlorine bleach;Commercial color remover","Pretreat the stain with heavy-duty liquid detergent. Rinse.;Soak fabric in dilute solution of all-fabric powdered bleach.;If stain persists and garment is white or colorfast, soak entire garment in diluted solution of liquid chlorine bleach and water. Chlorine bleach may change the color of the garment or cause irreversible damage. Check for bleach tolerance on a hidden seam. If stain does not come out in 15 minutes of bleaching, if cannot be removed by bleaching.;If bleaching is not safe or does not work, use a commercial color remover according to package directions. Note that color remover will take out the fabric color as well as the stain. Do not exceed 160 degrees Fahrenheit water with any synthetic fabrics*. Launder.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"143","Food coloring (except red and yellow)","Carpet","Detergent;White vinegar;Rubbing alcohol;Ammonia;Detergent;White vinegar;Rubbing alcohol;Ammonia","Mix one tablespoon of liquid dishwashing detergent and one tablespoon of white vinegar with two cups of warm water.;Using a clean white cloth, sponge the stain with the detergent/vinegar solution, blotting frequently with a dry cloth until the stain disappears.;Sponge with warm water and blot until the liquid is absorbed.;Sponge with rubbing alcohol. Blot to remove the stain.;Sponge with warm water and blot until the liquid is absorbed.;If the stain remains, mix one teaspoon of liquid dishwashing detergent and one tablespoon of ammonia with two cups of warm water. Sponge the stain with this solution. Leave it on the stain for at least 30 minutes, blotting every five minutes with a clean white cloth and more solution.;Sponge with cold water and blot dry.;Scrape off excess glue.;Mix one tablespoon of liquid dishwashing detergent and one tablespoon of white vinegar with two cups of warm water.;Using a clean white cloth, sponge the stain with the detergent/vinegar solution, blotting frequently with a dry cloth until the stain disappears.;Sponge with warm water and blot until the liquid is absorbed.;Sponge with rubbing alcohol. Blot to remove the stain.;Sponge with warm water and blot until the liquid is absorbed.;If the stain remains, mix one teaspoon of liquid dishwashing detergent and one tablespoon of ammonia with two cups of warm water. Sponge the stain with this solution. Leave it on the stain for at least 30 minutes, blotting every five minutes with a clean white cloth and more solution.;Sponge with cold water and blot dry.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"144","Food coloring (except red and yellow)","Upholstery","Detergent;White vinegar;Rubbing alcohol;Detergent;Ammonia","Mix one (1) tablespoon of liquid dishwashing detergent and one tablespoon of white vinegar with two (2) cups of cool water.;Using a clean white cloth, sponge the stain with the detergent/vinegar solution. Leave it on the stain for at least 30 minutes, blotting every five minutes with a clean white cloth and more solution.;Sponge with cool water, blot until the liquid is absorbed.;Sponge the stain with rubbing alcohol; blot to remove the stain.;If the stain remains, mix one teaspoon of liquid dishwashing detergent and one tablespoon of ammonia with two cups of warm water. (Caution: Never mix chlorine bleach and ammonia – fumes are hazardous);Sponge the stain with the detergent/ammonia solution.  Leave it on the stain for at least 30 minutes, blotting every five minutes with a clean white cloth and more solution.;Sponge with cold water and blot dry.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
